Model,WER (Médio),CER (Médio),"WER (Médio, sem 100%)","CER (Médio, sem 100%)",Tempo Total de Inferência (s),Tempo Médio de Inferência,Minutos Totais Processados
deepgramnova2,43.85745454258385,39.051388350023046,19.796363632262647,12.930554785747205,254.81450772285461,0.7433133544418454,5.7134833333333335
assemblyaibest,65.6186299081036,28.04924421273526,65.6186299081036,28.04924421273526,41,1.1661973433455644,0.58595
assemblyaibest,44.30952380952381,30.662251564458735,38.12169312169312,22.95805729384304,33,1.1933174224343674,0.4609
deepgramnova2,46.67112299465241,43.1204789608151,11.118538324420678,5.200798268025159,30.495180368423462,1.1311268682649651,0.44933333333333336
deepgramnova2,38.095238095238095,28.79226579520697,22.619047619047617,10.990332244008714,21.44312071800232,0.7168735195908772,0.49853333333333333
deepgramnova2,51.31060606060606,41.7270455409528,39.13825757575757,27.158806926190994,24.11476993560791,0.6921774429693135,0.58065
deepgramnova2,38.938375350140056,30.148809523809526,23.67296918767507,12.686011904761905,41.255770683288574,1.5307695700823187,0.4491833333333333
